s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.122150554123034709e+02,3.384947729318495249e+02,-2.120329751127048468e+00,6.919872814526177932e-03,2.883651629335573574e+01,-4.194733742192668924e-01
1.988942216663572182e+00,1.139185324262949166e+02,3.374681000511180855e+02,-2.106219930650754968e+00,7.262110808818555106e-03,2.879352773937650056e+01,-2.639056562112566784e+00
3.977924204715240108e+00,1.156366619394615327e+02,3.364660619656244194e+02,-2.091721384285817553e+00,6.890810558677963951e-03,2.858213875547724214e+01,-2.851599863353121656e+00
5.968640908729373251e+00,1.174030392105600527e+02,3.355479855353706853e+02,-2.078998770200251478e+00,5.501224379978159919e-03,2.839100116618701364e+01,-2.620063508157010279e+00
7.958234125691309835e+00,1.191468810836505838e+02,3.345901250598122374e+02,-2.066676957684466132e+00,7.382695565083456472e-03,2.816999617830435554e+01,-1.904247313862286406e+00
9.947454117416826946e+00,1.209042853114652871e+02,3.336581773383495602e+02,-2.049753437024682157e+00,8.802141245084115634e-03,2.799974196799811210e+01,-1.796722622099641065e+00
1.193749028285350278e+01,1.226779705995648158e+02,3.327558002339607128e+02,-2.033897943518426121e+00,7.122731832004058732e-03,2.783353903954164110e+01,-2.715623781303649231e+00
1.392787021176745732e+01,1.244645740199030968e+02,3.318784972761068843e+02,-2.021277771009561519e+00,5.678335822648447259e-03,2.758797082267364686e+01,-3.478822934810136491e+00
1.592503084377209710e+01,1.263000017157566361e+02,3.310911880844147390e+02,-2.011004864835594041e+00,4.678806331128387494e-03,2.733480991249798109e+01,-3.540871726760494553e+00
1.791561655144341003e+01,1.281050739699342103e+02,3.302520542352681332e+02,-2.000731525766407337e+00,5.655967088913432632e-03,2.700120643866225834e+01,-2.969626507532204585e+00
1.990667728753040322e+01,1.299199733539143438e+02,3.294332361353119722e+02,-1.988161958586420308e+00,7.145474751712423828e-03,2.670512169854175966e+01,-2.264246943130277856e+00
2.189618029576248048e+01,1.317449098708151212e+02,3.286409426738682100e+02,-1.972144781971602256e+00,8.974298849076278381e-03,2.646098665924497695e+01,-2.113058859790693411e+00
2.388731490117661238e+01,1.335841201810706593e+02,3.278781042561627146e+02,-1.956683648537313580e+00,6.587253782751807327e-03,2.622128716811581839e+01,-3.191131122958182242e+00
2.589279417326919130e+01,1.354770642243244367e+02,3.272157524161992228e+02,-1.946907927577078201e+00,2.620427535711521844e-03,2.596527759241646294e+01,-3.965675764842593765e+00
2.788286501081371327e+01,1.373285924106646689e+02,3.264862146765086663e+02,-1.947202764447230061e+00,-2.964772037959692748e-03,2.552601888931852159e+01,-7.243747934563629087e-01
2.987439280679198816e+01,1.391815122695706748e+02,3.257562345681318448e+02,-1.938655620296285242e+00,1.404593982338095057e-02,2.539219426106017607e+01,2.392199596421631380e-01
3.186427825660944535e+01,1.410526306189590287e+02,3.250790638171558271e+02,-1.894801610221443999e+00,1.809511106441338835e-02,2.535107828535528540e+01,1.155060597192077321e+00
3.385352054454599369e+01,1.429429241453691759e+02,3.244594871357620605e+02,-1.891237123469315051e+00,-1.583878234430920531e-02,2.540088237144209771e+01,1.247446935616252528e+00
3.586365340132742574e+01,1.448667183339690894e+02,3.238766921273573303e+02,-1.922066163708184394e+00,-4.571550524301734586e-03,2.557493881393112289e+01,5.413544739041130427e+00
3.785416497331365093e+01,1.467388376676694008e+02,3.232004484445058097e+02,-1.904714348727069684e+00,1.450993800015295404e-02,2.604328693205596679e+01,2.615029028312113368e+00
3.984420116281860658e+01,1.486250743004354717e+02,3.225661335378933927e+02,-1.890831820263178198e+00,-1.733197712845256470e-03,2.623541256926705856e+01,5.393461731659857428e+00
4.183488507676207746e+01,1.505108678373356952e+02,3.219284775323397412e+02,-1.903262891380097077e+00,-5.682090463113695714e-03,2.668792091873221750e+01,5.638880108980403705e+00
4.382531279122396484e+01,1.523895469072613196e+02,3.212709310026390881e+02,-1.909640217431912257e+00,-7.435638544103566295e-04,2.715428371304431465e+01,5.749932772662348590e+00
4.583636721236798195e+01,1.543137838368098471e+02,3.206864208455292555e+02,-1.909549885032666205e+00,8.435923013644390425e-04,2.772740759208387828e+01,5.710008800266049178e+00
4.782744373288969797e+01,1.561923310611159934e+02,3.200265374947584291e+02,-1.907676276688460515e+00,7.170630748907396487e-04,2.817865729620935511e+01,5.622969758987615307e+00
4.981755973129542525e+01,1.580708727820011177e+02,3.193695422969035462e+02,-1.906972403999972920e+00,1.288362205490632901e-05,2.861423210479554413e+01,1.658335601125780823e+00
5.180831854227636057e+01,1.599501142718902713e+02,3.187126008488448861e+02,-1.907219529433832106e+00,-2.428505609942155938e-04,2.883578976324365328e+01,1.755957211519882932e+00
