s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.166889070605301839e+02,3.463968762711671729e+02,-2.058890564869018558e+00,5.808581844633158714e-03,3.346223390507355333e+01,2.670933192657658495e+00
1.999700192781395547e+00,1.184598203227253066e+02,3.454695534476967964e+02,-2.047559824744674462e+00,5.521685070421911493e-03,3.362146976499364115e+01,2.863114801065941961e+00
3.999400385562791094e+00,1.202409028415813594e+02,3.445618092671762724e+02,-2.036816433433858098e+00,5.237660525595703997e-03,3.379132982878411440e+01,3.052771074171901855e+00
5.999100578344187085e+00,1.220325851345637034e+02,3.436721824022391161e+02,-2.026601368896831179e+00,4.977339313019192059e-03,3.397150608096075075e+01,3.220908932316648876e+00
7.998800771125582187e+00,1.238321500727480498e+02,3.428008661721802355e+02,-2.016901296971438384e+00,4.725224543844552816e-03,3.416057566602944462e+01,3.382495326122143542e+00
9.998500963906977290e+00,1.256394255933702198e+02,3.419467981180499692e+02,-2.007704561710639268e+00,4.478155904786567873e-03,3.435801046256869995e+01,3.540864905888495784e+00
1.199820115668837417e+01,1.274554014907952961e+02,3.411084280637051052e+02,-1.998991078921375397e+00,4.235083984390849814e-03,3.456348100836801507e+01,3.697330188996245326e+00
1.399790134946976927e+01,1.292785785527272253e+02,3.402853984293806775e+02,-1.990759975191040310e+00,3.995153891284582148e-03,3.477673537293632933e+01,3.853008506949736400e+00
1.599760154225116437e+01,1.311066062072205511e+02,3.394776939393485691e+02,-1.983015447834140854e+00,3.755368678241185251e-03,3.499758630116529190e+01,4.011141514197101188e+00
1.799730173503256125e+01,1.329419202066367234e+02,3.386831860544387496e+02,-1.975743164998764456e+00,3.516163174259376561e-03,3.522603025925486264e+01,4.171600499518341110e+00
1.999700192781395458e+01,1.347839032478975412e+02,3.379011303058903763e+02,-1.968946403068712936e+00,3.277639676972605737e-03,3.546205166755198945e+01,4.334581094424001968e+00
2.199670212059535146e+01,1.366282892965556925e+02,3.371322784035383506e+02,-1.962639694199034057e+00,3.035459172945185850e-03,3.570564148383864733e+01,4.504850924628242659e+00
2.399640231337674834e+01,1.384786673832770134e+02,3.363740750037417229e+02,-1.956810301036760569e+00,2.793144760400519903e-03,3.595705127366926490e+01,4.596226412447284915e+00
2.599610250615814167e+01,1.403344926131921682e+02,3.356257231707310211e+02,-1.951463906023539030e+00,2.550898048409547432e-03,3.621176170781195225e+01,4.559266525479232612e+00
2.799580269893953854e+01,1.421918957718789613e+02,3.348877247646693149e+02,-1.946612450883318024e+00,2.304811603123608273e-03,3.646266608852459257e+01,4.522779629720494299e+00
2.999550289172093187e+01,1.440535496046250614e+02,3.341579517240555788e+02,-1.942248518308371086e+00,2.058599415429117254e-03,3.670986822202118560e+01,4.486754162249042110e+00
3.199520308450232875e+01,1.459192868934972012e+02,3.334354277471057912e+02,-1.938375752002253316e+00,1.812800315941693859e-03,3.695346737729201436e+01,4.451179042768017347e+00
3.399490327728372563e+01,1.477860528470097279e+02,3.327202752357904387e+02,-1.935000456966478044e+00,1.564888055513250420e-03,3.719355856038032471e+01,4.416043644971703763e+00
3.599460347006512251e+01,1.496555296878423746e+02,3.320107842429659968e+02,-1.932117590516001293e+00,1.317972740892074841e-03,3.743023276765458007e+01,4.381337770083963079e+00
3.799430366284651228e+01,1.515277243874352848e+02,3.313059032163206439e+02,-1.929726733812387351e+00,1.072212507474363651e-03,3.766357722001134078e+01,4.347051622369062507e+00
3.999400385562790916e+01,1.534003341425552378e+02,3.306054453595728546e+02,-1.927831181328969468e+00,8.245239064434144345e-04,3.789367557973653788e+01,4.313175786437385639e+00
4.199370404840930604e+01,1.552743969390152756e+02,3.299079673363006577e+02,-1.926421867925725229e+00,5.887130062755832833e-04,3.812060815157070692e+01,4.279701206189422180e+00
4.399340424119070292e+01,1.571498905272506477e+02,3.292124709125438358e+02,-1.925474630988705194e+00,3.488870795933669269e-04,3.834445206936365480e+01,4.246619165251389383e+00
4.599310443397209980e+01,1.590252345303154300e+02,3.285184829990674302e+02,-1.925083798148927494e+00,4.231474439748618584e-05,3.856528146956237890e+01,4.213921268777135687e+00
4.799280462675349668e+01,1.609008784722805103e+02,3.278245389241533871e+02,-1.925361358851991334e+00,-3.510447251805389997e-04,3.878316765265119415e+01,4.098492719592126576e+00
4.999250481953488645e+01,1.627758493422163610e+02,3.271293428019067733e+02,-1.926504190863993493e+00,-7.870310165372813036e-04,3.899391755821172723e+01,-7.649919670305918906e+00
5.199220501231628333e+01,1.646496928609775239e+02,3.264312262071066471e+02,-1.928479383631478195e+00,-1.188339565956772178e-03,3.859961806621494418e+01,-7.219940623645472400e+00
5.399190520509768021e+01,1.665218094776203657e+02,3.257286813625817672e+02,-1.931259156055947113e+00,-1.593639879690506196e-03,3.822375022866959426e+01,-6.803554600798315199e+00
5.599160539787907709e+01,1.683918425492180688e+02,3.250201116688575098e+02,-1.934853243069451612e+00,-1.999869304671767021e-03,3.786614507247983141e+01,-6.408485298457574864e+00
5.799130559066047397e+01,1.702588722624212494e+02,3.243041319808546064e+02,-1.939251621009276727e+00,-2.399064487759198280e-03,3.752618877632744443e+01,-6.027468909240119466e+00
5.999100578344186374e+01,1.721224057316097742e+02,3.235792205357988109e+02,-1.944446110511705683e+00,-2.796187295710292082e-03,3.720360980599841128e+01,-5.659392546171143401e+00
6.199070597622326062e+01,1.739821368024447850e+02,3.228437903332596761e+02,-1.950433376969963772e+00,-3.191000026555152868e-03,3.689816263536401664e+01,-5.303883363801136674e+00
6.399040616900465750e+01,1.758368318344079739e+02,3.220966324478035858e+02,-1.957205931838706725e+00,-3.582629539015129774e-03,3.660958962752255275e+01,-4.958706607781069309e+00
6.599010636178604727e+01,1.776861063604940227e+02,3.213362170153474722e+02,-1.964758919728314845e+00,-3.971936742447954374e-03,3.633772419368822426e+01,-4.623000228105630605e+00
6.798980655456745126e+01,1.795297169372804262e+02,3.205609556501790962e+02,-1.973089737552999434e+00,-4.358574766880129320e-03,3.608241913566511272e+01,-4.294826466572094326e+00
6.998950674734884103e+01,1.813659972098140258e+02,3.197698724358297682e+02,-1.982189715872104907e+00,-4.743238197025274015e-03,3.584360807808664617e+01,-3.973153938079184933e+00
7.198920694013024502e+01,1.831947143551287240e+02,3.189614012788778723e+02,-1.992056000375151514e+00,-5.125801798428697431e-03,3.562125779171229567e+01,-3.657605823112370480e+00
7.398890713291163479e+01,1.850156692390420119e+02,3.181339467576818834e+02,-2.002688466539191303e+00,-5.505523154921329251e-03,3.541533250619612261e+01,-3.345155288860012011e+00
7.598860732569302456e+01,1.868266237465734037e+02,3.172868595680229191e+02,-2.014075144024484398e+00,-5.884244601114086738e-03,3.522594443265357711e+01,-3.035589801299858781e+00
7.798830751847442855e+01,1.886276104764958177e+02,3.164184679110013576e+02,-2.026216382414758321e+00,-6.261074698167209095e-03,3.505319703180678914e+01,-2.729256423548571675e+00
7.998800771125581832e+01,1.904184344306760011e+02,3.155271718678797015e+02,-2.039115119944948429e+00,-6.634551980701857213e-03,3.489715221845514037e+01,-2.422776352611031747e+00
8.198770790403722231e+01,1.921960785066286803e+02,3.146128109431613780e+02,-2.052751209910402608e+00,-7.006918147725934784e-03,3.475804338968555385e+01,-2.111771926162246071e+00
8.398740809681861208e+01,1.939610785041146528e+02,3.136734587503535181e+02,-2.067132515404093596e+00,-7.381404854924712017e-03,3.463633581693579799e+01,-1.800142887106102929e+00
8.598710828960000185e+01,1.957131661823260345e+02,3.127075222588459269e+02,-2.082275014536934421e+00,-7.752849718138103696e-03,3.453224966124838602e+01,-1.513720090740611202e+00
8.798680848238140584e+01,1.974482263988698776e+02,3.117156122169326409e+02,-2.098111925137104095e+00,-8.093939195423364638e-03,3.444448132796090079e+01,-1.156511812507148074e+00
8.998650867516279561e+01,1.991677375313497578e+02,3.106953165476402887e+02,-2.114668217022422692e+00,-8.501267803756720753e-03,3.437727359991478693e+01,-7.393258910052660227e-01
9.198620886794419960e+01,2.008710466766715115e+02,3.096450632966281660e+02,-2.132143739522832870e+00,-8.960867332359345738e-03,3.433424063394813430e+01,-7.342242088820535306e-01
9.398590906072558937e+01,2.025536031607270786e+02,3.085660026867952297e+02,-2.149888182443693729e+00,-8.790018674803421611e-03,3.429145116972687646e+01,-5.446934649011401230e-01
9.598560925350699335e+01,2.042190136117020529e+02,3.074561387221245354e+02,-2.167277100681703317e+00,-8.502234202196621432e-03,3.425967273737774121e+01,-2.513237209810260664e-01
9.798530944628838313e+01,2.058636664973791994e+02,3.063192658737349348e+02,-2.183839105831173022e+00,-8.080596064057419745e-03,3.424500010053483834e+01,1.583920281635812222e-01
9.998500963906977290e+01,2.074925595282320216e+02,3.051539000999258633e+02,-2.199650901467440356e+00,-7.717697386018023027e-03,3.425424798509140345e+01,4.983514019773364612e-01
1.019847098318511769e+02,2.091011044266511476e+02,3.039650800729754678e+02,-2.214762142169765191e+00,-7.372864124602544235e-03,3.428332848212600936e+01,8.108188975530099540e-01
1.039844100246325667e+02,2.106901731985250308e+02,3.027540443408120723e+02,-2.229111859913353921e+00,-6.999678455643670860e-03,3.433058987586504429e+01,1.142001535875628138e+00
1.059841102174139706e+02,2.122677935548516075e+02,3.015164638048085521e+02,-2.242715538795936769e+00,-6.555749889107489493e-03,3.439704525984378591e+01,1.533332084689659425e+00
1.079838104101953604e+02,2.138239541472273970e+02,3.002623824228482476e+02,-2.255339862932023820e+00,-6.024552893012332343e-03,3.448607155850670836e+01,2.001254127267295235e+00
1.099835106029767502e+02,2.153625016588665915e+02,2.989917329489720146e+02,-2.266656964800712437e+00,-5.308865561360050743e-03,3.460192116149979569e+01,2.641377304374494361e+00
1.119832107957581542e+02,2.168959402635851745e+02,2.976976275854490837e+02,-2.276619972755476340e+00,-4.620888782867192159e-03,3.475423533148412503e+01,3.248929630661186341e+00
1.139829109885395440e+02,2.184114635882387461e+02,2.963945280309787904e+02,-2.284974065786538500e+00,-3.559502747485033917e-03,3.494067320321278913e+01,4.224549759824551387e+00
1.159826111813209479e+02,2.199134889231775105e+02,2.950845249703401691e+02,-2.290545909436537464e+00,-2.150996591870154521e-03,3.518161891999832136e+01,4.708246664355216105e+00
1.179823113741023377e+02,2.214149477302829325e+02,2.937626702388872104e+02,-2.294745740473200346e+00,-2.033316174033011382e-03,3.544822242873019746e+01,-5.507426826654439722e+00
1.199820115668837275e+02,2.229092184067182245e+02,2.924357654397629744e+02,-2.299501677239739639e+00,-3.000490133750853463e-03,3.513616467946879141e+01,-5.079468196064164331e+00
1.219817117596651315e+02,2.243959925066672554e+02,2.910994771032755466e+02,-2.306799729226135298e+00,-4.266122246853075103e-03,3.484587839789602981e+01,-3.995809104675320356e+00
1.239814119524465212e+02,2.258716006922570330e+02,2.897503197629691840e+02,-2.316513523216305437e+00,-5.450411688162572557e-03,3.461581142840773140e+01,-2.924946307480722041e+00
1.259811121452279252e+02,2.273325975307726878e+02,2.883849976251942735e+02,-2.328590320687912829e+00,-6.625562736503755323e-03,3.444642752822409193e+01,-1.925536813412827897e+00
1.279808123380093150e+02,2.287753152006048367e+02,2.870005430911988924e+02,-2.342949561949104975e+00,-7.719579753657718549e-03,3.433446339733906427e+01,-1.129053409306867151e+00
1.299805125307907190e+02,2.301965821223790556e+02,2.855939258100386837e+02,-2.359375810956991337e+00,-8.588548969261653246e-03,3.426864222788397996e+01,-7.346418677671533448e-01
1.319802127235720945e+02,2.315936627217046748e+02,2.841630264561537729e+02,-2.377108751698886913e+00,-9.027068033286017243e-03,3.422574634940068705e+01,-7.296102736996877836e-01
1.339799129163534985e+02,2.329652654725844627e+02,2.827079055436302610e+02,-2.393955078618926535e+00,-7.827338154746728976e-03,3.418309098901925580e+01,4.339398186189317719e-01
1.359796131091349025e+02,2.343128516050171584e+02,2.812326960222047774e+02,-2.408383952630164693e+00,-6.590098106594015695e-03,3.420846691451496469e+01,1.593841997377450026e+00
1.379793133019163065e+02,2.356402103292562344e+02,2.797405879901656931e+02,-2.420519424867340952e+00,-6.041433529502550880e-03,3.430151047607528625e+01,2.071182576737529590e+00
1.399790134946976821e+02,2.369532659677648780e+02,2.782277580878198364e+02,-2.433205916011301984e+00,-6.583428503880629605e-03,3.442204394477872142e+01,1.494379744544329869e+00
