s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.102676005333826197e+02,3.350550098570076329e+02,-2.147074053898587742e+00,7.403614608261480448e-03,2.682295459311014696e+01,-1.764718549905628153e+00
1.999952486441826549e+00,1.119530650319968998e+02,3.339778414010403367e+02,-2.131650716697500059e+00,8.023887284755474789e-03,2.669105068371309386e+01,-5.056286609130046017e+00
3.999904972883653098e+00,1.136553600941996649e+02,3.329278747771023177e+02,-2.115402671364536857e+00,7.604781333026305011e-03,2.630945686722470001e+01,-5.426741650088088953e+00
5.999857459325479425e+00,1.153728926548850353e+02,3.319038440901971398e+02,-2.102099940648952892e+00,5.696353880464565325e-03,2.589364921627723604e+01,-5.221039101322334730e+00
7.999809945767306196e+00,1.171037996227107811e+02,3.309010649281594851e+02,-2.088511598833431293e+00,8.647388172451208471e-03,2.548720089516727327e+01,-4.235659691902367463e+00
9.999762432209132967e+00,1.188511625832431804e+02,3.299286558417316542e+02,-2.067811112113411731e+00,1.080321718526111065e-02,2.515263749998262810e+01,-4.175305894212989699e+00
1.199971491865095885e+01,1.206185533592187795e+02,3.289926573354780430e+02,-2.048694878698162025e+00,8.309980778234990137e-03,2.481842755687715751e+01,-5.634790703490333286e+00
1.399966740509278651e+01,1.224014695504149302e+02,3.280862427796742509e+02,-2.034206499401166379e+00,6.336066895171950895e-03,2.436012559573348923e+01,-6.803963865362899099e+00
1.599961989153461239e+01,1.241952304350110126e+02,3.272027533906167491e+02,-2.023232741691207259e+00,5.031491585197430359e-03,2.379496816849150775e+01,-7.010689442699271190e+00
1.799957237797643828e+01,1.259991381176392906e+02,3.263383948867182198e+02,-2.011462909874581317e+00,6.739399335567007425e-03,2.319824171299041282e+01,-6.190507619183215127e+00
1.999952486441826593e+01,1.278145469869915729e+02,3.254985749155135863e+02,-1.995916126177091687e+00,9.073979810688978867e-03,2.265826507841417481e+01,-5.221161557679231180e+00
2.199947735086009359e+01,1.296438189132263403e+02,3.246923834080771485e+02,-1.974945618431634520e+00,1.190364623770155499e-02,2.219262999927888558e+01,-5.137771601771467189e+00
2.399942983730191770e+01,1.314917297829587142e+02,3.239251423841917585e+02,-1.955016275748517218e+00,8.010502865410084813e-03,2.172469166882299163e+01,-6.899901649154010386e+00
2.599938232374374536e+01,1.333504723884959446e+02,3.231878117583686958e+02,-1.943777598679915508e+00,2.139589088504149656e-03,2.107992592934253651e+01,-8.087161225081691995e+00
2.799933481018557302e+01,1.352120028403981280e+02,3.224580086901248706e+02,-1.947866160680493230e+00,-6.237433955060468771e-03,2.029816249776938974e+01,-2.688635315563202344e+00
2.999928729662739713e+01,1.370733112794254680e+02,3.217224375635573779e+02,-1.935738136961913547e+00,2.260692393046393606e-02,2.003150306434491768e+01,-1.658574127579430346e+00
3.199923978306922479e+01,1.389624923225275950e+02,3.210707193760087534e+02,-1.866848618416375949e+00,2.615011128141245603e-02,1.986522026346696990e+01,-2.462626246193818647e-01
3.399919226951104889e+01,1.408798054170099761e+02,3.205012038612235870e+02,-1.871098619174863309e+00,-3.052437682456532811e-02,1.984041201737525029e+01,-2.457898116546105571e-01
3.599914475595287655e+01,1.427705466449588414e+02,3.198480867862791115e+02,-1.923537685656346419e+00,-4.248370118462213574e-03,1.981562043261040174e+01,6.763807220163680078e+00
