x_m,y_m,w_tr_right_m,w_tr_left_m
1.135202813668879003e+02,3.407224777982273736e+02,8.234375774880566823e+00,8.234375774880552612e+00
1.223817893691141023e+02,3.360889326389248026e+02,8.815627039575344881e+00,8.815627039575335999e+00
1.315783097260637646e+02,3.321462121132003631e+02,9.322746591101546798e+00,9.322746591101550351e+00
1.409935387450642565e+02,3.287308731603633305e+02,9.622429132779892313e+00,9.622429132779918959e+00
1.505450999573598097e+02,3.256995433483588158e+02,9.680052157741702246e+00,9.680052157741725338e+00
1.600786002565051263e+02,3.226092506452665702e+02,9.846850871743903610e+00,9.846850871743926703e+00
1.696375754707855208e+02,3.195996724700400478e+02,1.003994344798574723e+01,1.003994344798574723e+01
1.792127446351183266e+02,3.166410307839872189e+02,1.020860780454119165e+01,1.020860780454116679e+01
1.887943284489212488e+02,3.137043182853731196e+02,1.040115852324909085e+01,1.040115852324909618e+01
1.983927997204049802e+02,3.108288027578054198e+02,1.049679380204074874e+01,1.049679380204070078e+01
2.078760703316310696e+02,3.076167439908626875e+02,1.044140937246917211e+01,1.044140937246919165e+01
2.170321810030578149e+02,3.036781776071165950e+02,9.912731725224086077e+00,9.912731725224128709e+00
2.255577231134040517e+02,2.985676016091543374e+02,9.211974205851491959e+00,9.211974205851463537e+00
2.331455427807213709e+02,2.921208896183745765e+02,8.557664380622627576e+00,8.557664380622595601e+00
2.395880413079292452e+02,2.845117685341834317e+02,7.946859563933236004e+00,7.946859563933264425e+00
2.447412692687839808e+02,2.759630756814319739e+02,7.386204117448984974e+00,7.386204117449013395e+00
2.484690122448367902e+02,2.666973891939297800e+02,6.865739326742162696e+00,6.865739326742134274e+00
2.510322469425070153e+02,2.570136499221680992e+02,6.744055844796728927e+00,6.744055844796752019e+00
2.533135886694023498e+02,2.472548079165514423e+02,6.814516254513399929e+00,6.814516254513394600e+00
2.556760925209516131e+02,2.375167415519604219e+02,7.036582628472214829e+00,7.036582628472209500e+00
2.579703576593871048e+02,2.277616123877536438e+02,7.214852333456161837e+00,7.214852333456168054e+00
2.602749230935415881e+02,2.180084745286896180e+02,7.361538509847358469e+00,7.361538509847414424e+00
2.626100947171614166e+02,2.082622572420999063e+02,7.451183234160331459e+00,7.451183234160358992e+00
2.649431369039946276e+02,1.985155096148273515e+02,7.526364963119258178e+00,7.526364963119204887e+00
2.672642407638718964e+02,1.887659393643282897e+02,7.587845750580028081e+00,7.587845750580020976e+00
2.696578106876963830e+02,1.790339894331398227e+02,7.681898420987337772e+00,7.681898420987383957e+00
2.719575710426390174e+02,1.692799610059503266e+02,7.689769468216683279e+00,7.689769468216683279e+00
2.742292133291700793e+02,1.595192011977058826e+02,7.826345060835208756e+00,7.826345060835153689e+00
2.765720674415048279e+02,1.497753191313761363e+02,7.972973282012945972e+00,7.972973282012954854e+00
2.788476288301583850e+02,1.400150649824282709e+02,8.078419242050976834e+00,8.078419242050966176e+00
2.811503265745238309e+02,1.302613550442463577e+02,8.218542941135268620e+00,8.218542941135261515e+00
2.835254973826328069e+02,1.205250207831795706e+02,8.297883188950814670e+00,8.297883188950867961e+00
2.859622544299314768e+02,1.108045772981002415e+02,8.502070713489798592e+00,8.502070713489846554e+00
2.883179602333258345e+02,1.010634158432695671e+02,8.620188892777726153e+00,8.620188892777674639e+00
2.906866350960316367e+02,9.132534584865334182e+01,8.744486136522690245e+00,8.744486136522633402e+00
2.925339643761756179e+02,8.150915956139297691e+01,8.355395817616345866e+00,8.355395817616352971e+00
2.926416144169694462e+02,7.157388127525688049e+01,7.511651359165703923e+00,7.511651359165751884e+00
2.900299492099672989e+02,6.195612632267980757e+01,6.897183387921244524e+00,6.897183387921240971e+00
2.848425661320282529e+02,5.342331077583327215e+01,6.850617936176605305e+00,6.850617936176600864e+00
2.774321538130610634e+02,4.675335878237846288e+01,7.201776890663889930e+00,7.201776890663889930e+00
2.685138414303572176e+02,4.236243892282513457e+01,7.985224127065714939e+00,7.985224127065711386e+00
2.587657452450032451e+02,4.016301893356359187e+01,8.409849732974457481e+00,8.409849732974432612e+00
2.488674824546053514e+02,3.859695185853077959e+01,8.350739467405762895e+00,8.350739467405743355e+00
2.389477367597601756e+02,3.717034409833060238e+01,8.309988165837065566e+00,8.309988165837065566e+00
2.290344590027968934e+02,3.570163364768445291e+01,8.283747748293320612e+00,8.283747748293302848e+00
2.191238786046464497e+02,3.422436673384178363e+01,8.263869027553484514e+00,8.263869027553500501e+00
2.092100008446451511e+02,3.275975600250307451e+01,8.252641121741079999e+00,8.252641121741079999e+00
1.992875116884004854e+02,3.135063201741576222e+01,8.179291311555939359e+00,8.179291311555937583e+00
1.893725955468275970e+02,2.988936587313180127e+01,8.125096013604345302e+00,8.125096013604325762e+00
1.794462619204868190e+02,2.851179784465957212e+01,7.989716246716335846e+00,7.989716246716335846e+00
1.695225903802966627e+02,2.711778491802952828e+01,7.881719325097582995e+00,7.881719325097595430e+00
1.595873983315787825e+02,2.580768790763209708e+01,7.724349674101503638e+00,7.724349674101503638e+00
1.496586017332089682e+02,2.444352922940600692e+01,7.652442100765508570e+00,7.652442100765492583e+00
1.397404752810655850e+02,2.300705491432202976e+01,7.534367814190817469e+00,7.534367814190801482e+00
1.298242045349643377e+02,2.155739145291403602e+01,7.412608653999239294e+00,7.412608653999230413e+00
1.199089857948371076e+02,2.009906531280323350e+01,7.370363988900720642e+00,7.370363988900724195e+00
1.099986783776613919e+02,1.860880134699214139e+01,7.360962070822431258e+00,7.360962070822429482e+00
1.000810598233537974e+02,1.716708916003092256e+01,7.300694694121669492e+00,7.300694694121665052e+00
9.016477623903867311e+01,1.571536108091964579e+01,7.215705295288221244e+00,7.215705295288227461e+00
8.023221953542756069e+01,1.438074828233858327e+01,7.120932084683858854e+00,7.120932084683858854e+00
7.030745639254060109e+01,1.298947034744922568e+01,7.095263125485031352e+00,7.095263125485030464e+00
6.038830968495662432e+01,1.155878371434858565e+01,7.076413346666540427e+00,7.076413346666541315e+00
5.046431062001114753e+01,1.016039138770464945e+01,7.041381965839254242e+00,7.041381965839252466e+00
4.053469176432638221e+01,8.802346241046123509e+00,7.022882520319864597e+00,7.022882520319869037e+00
3.060674707063457589e+01,7.431943666869987197e+00,6.994445482328442765e+00,6.994445482328441877e+00
2.068061225142727011e+01,6.048477564313435195e+00,6.968196975223110989e+00,6.968196975223110989e+00
1.075517480555813066e+01,4.659999799064968862e+00,6.939897410147000123e+00,6.939897410147000123e+00
8.295023925423841149e-01,3.273242717513074496e+00,6.904018672443326565e+00,6.904018672443326565e+00
-9.089874637359718790e+00,1.842501821260658978e+00,6.903895482355207669e+00,6.903895482355208557e+00
-1.901597829350825819e+01,4.595429640254429238e-01,6.859090433682312415e+00,6.859090433682312415e+00
-2.893451881725885144e+01,-9.762809204003777275e-01,6.888137409445851844e+00,6.888137409445851844e+00
-3.886265131126168626e+01,-2.344580157934813780e+00,6.845894833647044209e+00,6.845894833647043320e+00
-4.877784383552572933e+01,-3.803785917944111361e+00,6.875534043676164053e+00,6.875534043676165830e+00
-5.870389695618581527e+01,-5.187666195757313581e+00,6.875384730673560263e+00,6.875384730673560263e+00
-6.862758432255745333e+01,-6.588062413715838339e+00,6.850231139713435446e+00,6.850231139713435446e+00
-7.855341913851847835e+01,-7.972428188876577337e+00,6.877404987693162219e+00,6.877404987693162219e+00
-8.847577957123934311e+01,-9.382120155684027907e+00,6.868048935275592903e+00,6.868048935275589351e+00
-9.839938947016247539e+01,-1.077830147005953343e+01,6.858144370951903213e+00,6.858144370951904101e+00
-1.083130772839608795e+02,-1.224658276900327536e+01,6.813960415858333342e+00,6.813960415858335118e+00
