s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.057464723715215484e+02,3.449701952826123943e+02,-2.159938538717046885e+00,8.079254174363927066e-03,2.829524652927239003e+01,3.222945838997282930e+00
1.990384288672067958e+00,1.073907267627147206e+02,3.438485638308268335e+02,-2.146115727827236253e+00,5.981829104172085160e-03,2.852632179343754615e+01,3.709080677301720197e+00
3.980278213074701199e+00,1.090434623842419342e+02,3.427403477888433372e+02,-2.136070501973468261e+00,4.985313916921493491e-03,2.878739710808579844e+01,3.780549788380204390e+00
5.969857971732180246e+00,1.107024986821933226e+02,3.416421555569734778e+02,-2.125922274729428629e+00,5.510292171672993497e-03,2.904395552197420471e+01,3.875372736269799834e+00
7.958059145248288502e+00,1.123680932871790219e+02,3.405564583071780476e+02,-2.114525232496651697e+00,6.355080028095741809e-03,2.929859623734617458e+01,3.855215987915355580e+00
9.945205483709532501e+00,1.140427397911216474e+02,3.394867342038258471e+02,-2.101509831968072284e+00,6.858094075703264313e-03,2.954402144355275794e+01,3.353876736622168675e+00
1.193170479686432728e+01,1.157275631059780494e+02,3.384343322279246422e+02,-2.088831856865733805e+00,6.340541051914669497e-03,2.974524330125290561e+01,-1.856060615890999799e+00
1.391726927097606925e+01,1.174221405248723897e+02,3.373995019750676647e+02,-2.076229342514988030e+00,7.217256217097048690e-03,2.955085677606946248e+01,-1.482131005159431858e+00
1.590088302739064119e+01,1.191269007803950046e+02,3.363853441935427213e+02,-2.060934469964823990e+00,8.293790704259887056e-03,2.937569094296178207e+01,-1.360448130935680178e+00
1.788072967079056141e+01,1.207975978307271134e+02,3.353230052187359433e+02,-2.046848689808385302e+00,6.821732186019281198e-03,2.914653436967763511e+01,-2.160209912116120456e+00
1.986282855382238210e+01,1.225249008375059248e+02,3.343508219516052691e+02,-2.034342200188393956e+00,6.999031917809778007e-03,2.889992008188531614e+01,-1.389641250603436795e+00
2.184248945232186756e+01,1.242625419239655571e+02,3.334023174826146487e+02,-2.019250398840787497e+00,8.614962317172590589e-03,2.870522240246785017e+01,-1.224785071451367946e+00
2.382187258913690897e+01,1.260139200049849393e+02,3.324800201229563754e+02,-2.004901807811249270e+00,6.188600832072198299e-03,2.851573804129129996e+01,-2.564515802386400090e+00
2.580043918073646125e+01,1.277754111987799774e+02,3.315789793183440679e+02,-1.995192202987007501e+00,4.620638778070042252e-03,2.820782046431475010e+01,-3.309325941754605260e+00
2.777747747697135949e+01,1.295442836836274694e+02,3.306959331377120179e+02,-1.986286637643728481e+00,4.730968516944103301e-03,2.782483744634348000e+01,-2.989073215818668139e+00
2.975468977616196042e+01,1.313222023867135135e+02,3.298308472683976333e+02,-1.976258338303735540e+00,5.727983312035006200e-03,2.745366460601649905e+01,-2.760112907276609739e+00
3.173123052841226865e+01,1.331099549484306408e+02,3.289878442296248977e+02,-1.964095905563557398e+00,6.437146997389933158e-03,2.708765848549488453e+01,-2.707743643462005245e+00
3.370667442875287634e+01,1.349079771899475588e+02,3.281696177191747665e+02,-1.951790131637359593e+00,6.097047384452543989e-03,2.671131754984523354e+01,-1.582257589522017005e+00
3.568220236396724943e+01,1.367174901946722514e+02,3.273769177074776735e+02,-1.937024679669175686e+00,9.839258426832723711e-03,2.642581102655639569e+01,-1.207343390092323165e+00
3.765632141261598775e+01,1.385424523576874662e+02,3.266241500661695341e+02,-1.912880284039817802e+00,1.133878429560028836e-02,2.616828162803435021e+01,-1.132206046884693063e+00
3.962999183041272033e+01,1.403830786959639454e+02,3.259117810600155281e+02,-1.903573065599401870e+00,-2.578967239366400550e-03,2.591533618004999795e+01,-2.861986321545090028e+00
4.160515187455038699e+01,1.422252340834765789e+02,3.251992358135812538e+02,-1.910021428356598161e+00,3.393604428030231202e-03,2.548688931981253347e+01,6.458609656019942413e-01
4.357984684444583934e+01,1.440743717016194978e+02,3.245063358977931784e+02,-1.884281011105964243e+00,1.857831652829421837e-02,2.540904280797830950e+01,1.324147481572665930e+00
4.555479893490084464e+01,1.459442012141342673e+02,3.238705896011296659e+02,-1.869111598849614531e+00,-4.399189428250530054e-03,2.540647637763270694e+01,4.199341808620387084e+00
4.753207890064422259e+01,1.478136306149361587e+02,3.232264857443273627e+02,-1.894470361998622954e+00,-1.147672544770817794e-02,2.570165005136082570e+01,4.060344721254171674e+00
4.951139869430721063e+01,1.496735027044101116e+02,3.225492984317011746e+02,-1.905063012352635532e+00,1.702774289660566581e-03,2.599024806161851231e+01,5.555875619694763401e+00
5.149380213235370007e+01,1.515381653871011736e+02,3.218762780226808218e+02,-1.901865624705804780e+00,1.296601525801526541e-03,2.642606074487810019e+01,5.882497732865735074e+00
5.347686084166986120e+01,1.534057561095511630e+02,3.212094746498538598e+02,-1.902264883717456057e+00,-5.819058052941873107e-04,2.688772763287695611e+01,5.822812434938229309e+00
5.546676670756410488e+01,1.552883337415277367e+02,3.205647833945216689e+02,-1.902956508885302433e+00,1.286570644391456545e-04,2.736713631376835210e+01,5.760216320326660977e+00
5.746047005718423861e+01,1.571779918681960453e+02,3.199291378874951874e+02,-1.902833460293450685e+00,4.389338440617207657e-06,2.784372994922293998e+01,5.697550083835634993e+00
5.945707006295243247e+01,1.590738278671061607e+02,3.193028652246158003e+02,-1.903196736137680478e+00,-2.090440974442760364e-04,2.831793597431422427e+01,4.411839909763407341e+00
6.145653235791594682e+01,1.609755337961910300e+02,3.186853184423683274e+02,-1.903595284270828136e+00,-9.996051521721986514e-05,2.872660094646719031e+01,2.295176690270916087e+00
6.345990341719851813e+01,1.628839668521714543e+02,3.180759098175424242e+02,-1.904491592032938829e+00,-7.044469160532757261e-04,2.902543831918882589e+01,2.342884591755236112e+00
6.546626869427161921e+01,1.647975773750891335e+02,3.174729202723400476e+02,-1.906487982703438888e+00,-7.678129560239819714e-04,2.932526743702808147e+01,2.381472790308923670e+00
6.747573674501811070e+01,1.667163498848277072e+02,3.168760334297622876e+02,-1.907376126012566786e+00,2.007390194337574634e-04,2.962520255156514537e+01,2.412338548208586175e+00
6.948894878483646664e+01,1.686413584359010827e+02,3.162866568136975047e+02,-1.908099529863267474e+00,-6.484155590543091985e-04,2.992415339271853725e+01,2.437426647995090789e+00
7.150514985920656841e+01,1.705712053879934729e+02,3.157029124228971568e+02,-1.910973284261443750e+00,-1.431911758549210328e-03,3.022205385401785449e+01,2.457146947716236429e+00
7.352473255368191474e+01,1.725054638948612649e+02,3.151220868996684885e+02,-1.914180949129881792e+00,-1.119256931201638048e-03,3.051858345274568762e+01,2.472742581171495591e+00
7.554800727603247879e+01,1.744444369880271779e+02,3.145441388517598966e+02,-1.917095734464968615e+00,-1.130125483720093114e-03,3.081311722503248163e+01,2.485894299042144873e+00
7.757375536738059907e+01,1.763866164556970944e+02,3.139682966468444079e+02,-1.920523707717912032e+00,-1.492819752029011593e-03,3.110475538330412348e+01,2.497669981338532352e+00
7.960157079005236369e+01,1.783302620168594217e+02,3.133901294383316554e+02,-1.925053799609225180e+00,-2.007132706312602169e-03,3.139139564200585042e+01,2.512050505553067747e+00
8.163123144761365779e+01,1.802743257093345619e+02,3.128069152885958601e+02,-1.930904704143318495e+00,-2.593145543713175870e-03,3.167319170169066211e+01,2.529536997298283296e+00
8.366172773436164789e+01,1.822170469909976589e+02,3.122163653819235378e+02,-1.938119173460991274e+00,-3.126836313296575773e-03,3.195065365483845454e+01,2.548702939417752944e+00
8.569364240917455788e+01,1.841578248811234744e+02,3.116146524712104338e+02,-1.946516670013285211e+00,-3.566901314387808247e-03,3.222355372544105023e+01,-1.758453587465149237e+00
8.778446840701597864e+01,1.861898371005993909e+02,3.111222302000344371e+02,-1.958513499307270145e+00,-4.519598345218751693e-03,3.230252291958212396e+01,-4.326994706864003781e+00
8.981677020028593006e+01,1.881201663450962656e+02,3.104865576532240539e+02,-1.970273743518811127e+00,-4.552817911243318451e-03,3.211639383679469972e+01,-4.555017864113056092e+00
9.184885943861480939e+01,1.900430270957596122e+02,3.098292957525403040e+02,-1.980578731252871538e+00,-3.048150637305737602e-03,3.191820526917575052e+01,-3.809379845782759233e+00
9.387894199844076581e+01,1.919579411929840376e+02,3.091552488699270498e+02,-1.987686868731473933e+00,-1.294910545784764850e-03,3.177733650400617549e+01,-2.629545175609178997e+00
9.590691727615342188e+01,1.938658537046077583e+02,3.084678235467075638e+02,-1.991928366839653908e+00,3.042077606047305892e-04,3.172289671768113806e+01,-1.495081693380936994e+00
9.793052751939457323e+01,1.957652818224198370e+02,3.077698470128503345e+02,-1.993407489479045003e+00,1.756058393509036999e-03,3.174955432929782972e+01,-9.120320743877663450e-01
9.994947104727540932e+01,1.976560608359069136e+02,3.070619715358568556e+02,-1.998143234425212356e+00,-2.365766851415164115e-03,3.181744604701027868e+01,-9.652042712501903710e-01
1.019651095346006997e+02,1.995335153203629943e+02,3.063285118093668871e+02,-2.013341165476377093e+00,-7.672355610623711811e-03,3.188105918339035583e+01,-3.698680982998025502e-01
1.039756667291947991e+02,2.013883716614459445e+02,3.055527230580444211e+02,-2.036172057882783992e+00,-1.013509444604486671e-02,3.198726184487972901e+01,8.622231614055991811e-02
1.059884619870011306e+02,2.032230808798356065e+02,3.047249629274488143e+02,-2.058763961716370439e+00,-8.259388218181071620e-03,3.212570846158399007e+01,-7.097789962503293637e-01
1.080000815588711021e+02,2.050364670957358726e+02,3.038541910090262945e+02,-2.075805572473568450e+00,-5.071642822064033503e-03,3.220508238519796151e+01,-2.069180575016395629e+00
1.100056795191280798e+02,2.068283975134926322e+02,3.029534088177586000e+02,-2.087474133223730988e+00,-3.032461133929239844e-03,3.218405462207805101e+01,-2.464681090427769838e+00
1.120135462255623935e+02,2.086084768300590042e+02,3.020245135935594476e+02,-2.097137112797891501e+00,-2.579948444095295570e-03,3.213384175174694235e+01,-2.351336008633207797e+00
1.140164478271272372e+02,2.103708246398497295e+02,3.010728072192628133e+02,-2.107940392915636174e+00,-3.916145136704195923e-03,3.209200144556048429e+01,-1.617039118240306106e+00
1.160134955385627791e+02,2.121116577056867243e+02,3.000941858427138982e+02,-2.122079160679575693e+00,-5.713760398221388176e-03,3.210548732565577268e+01,-2.456794261352861497e+00
1.180469257600925488e+02,2.138872319680188525e+02,2.991031386668568075e+02,-2.143629448227922563e+00,-7.069801696547832991e-03,3.225778431563635706e+01,-3.528421848437828245e+00
1.200477100533925352e+02,2.155818698179699027e+02,2.980394938267766065e+02,-2.162761974321425473e+00,-8.129809369149247622e-03,3.219390546234247097e+01,-3.174704765284835695e+00
