s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.091802220680186082e+02,3.502433338230760569e+02,-2.128623986882784980e+00,8.085510138687908993e-03,3.329178315675278554e+01,6.962204587267657452e-01
1.998752227866813502e+00,1.108838364243609078e+02,3.491993467759959913e+02,-2.112572196847640527e+00,7.974856008512901107e-03,3.333355621805422686e+01,7.725750529349373341e-01
3.997504455733627005e+00,1.126040021512953473e+02,3.481825212636188098e+02,-2.096831380137738066e+00,7.739621289144679034e-03,3.337984934595537823e+01,9.596639308979202365e-01
5.996256683600440951e+00,1.143407142729846839e+02,3.471918380160236097e+02,-2.081656261538944896e+00,7.438241593072512058e-03,3.343726369185207403e+01,1.201994265563139486e+00
7.995008911467254009e+00,1.160911304655494263e+02,3.462275365381777874e+02,-2.067107205461382602e+00,7.121776050098639448e-03,3.350903729788135621e+01,1.452445572935995077e+00
9.993761139334067067e+00,1.178547905131274547e+02,3.452884055480071765e+02,-2.053189746327230836e+00,6.810335424405003155e-03,3.359556128836555189e+01,1.693248042611863680e+00
1.199251336720088190e+01,1.196320096273592952e+02,3.443728840396991586e+02,-2.039881659343268261e+00,6.503475913218063550e-03,3.369614970401409693e+01,1.925767423198350592e+00
1.399126559506769496e+01,1.214210314767491070e+02,3.434805227060454058e+02,-2.027184013463511292e+00,6.199775466803508425e-03,3.381018735130391661e+01,2.152190416856777144e+00
1.599001782293450802e+01,1.232196930391213527e+02,3.426110137647182228e+02,-2.015101609676635430e+00,5.896072458645516129e-03,3.393717960454645066e+01,2.376257735794631731e+00
1.798877005080132108e+01,1.250295058927133738e+02,3.417622753930760382e+02,-2.003616995105689025e+00,5.593214291351878385e-03,3.407684346294495015e+01,2.597894454090451166e+00
1.998752227866813413e+01,1.268495385391218377e+02,3.409334466984425376e+02,-1.992734423921155518e+00,5.291109361737903090e-03,3.422888188436493806e+01,2.817883367767791025e+00
2.198627450653494719e+01,1.286761437911560790e+02,3.401248323102483369e+02,-1.982471993899852514e+00,4.984573088803080296e-03,3.439303499797881614e+01,3.041862460583051764e+00
2.398502673440176380e+01,1.305117876802210901e+02,3.393339883976481133e+02,-1.972813547643870624e+00,4.677793345698625510e-03,3.456936093005055000e+01,3.266451882435391418e+00
2.598377896226857686e+01,1.323556968178351099e+02,3.385599488633445162e+02,-1.963766192213720840e+00,4.370914584041764653e-03,3.475770951985444412e+01,3.492165719847010408e+00
2.798253119013538992e+01,1.342046061487478710e+02,3.378027368395781309e+02,-1.955346049716466972e+00,4.058966385179486186e-03,3.495795072786488333e+01,3.724564456620259811e+00
2.998128341800220298e+01,1.360602362536685348e+02,3.370602905616104294e+02,-1.947544164763425734e+00,3.746306437510057725e-03,3.517026133117062159e+01,3.959995381867631892e+00
3.198003564586901604e+01,1.379221926455305720e+02,3.363314435205439850e+02,-1.940365717649272348e+00,3.433650521552918371e-03,3.539459536831203934e+01,4.198397999927883539e+00
3.397878787373583265e+01,1.397880162671687572e+02,3.356158090813779040e+02,-1.933821015565243995e+00,3.117405378749497653e-03,3.563089243898040337e+01,4.444111872321225398e+00
3.597754010160264215e+01,1.416585221604664468e+02,3.349117152149447065e+02,-1.927905308012204610e+00,2.801368288982363040e-03,3.587932347480333561e+01,4.607488994388646120e+00
3.797629232946945876e+01,1.435335546440900885e+02,3.342178814852510413e+02,-1.922619224477216227e+00,2.486028490228348736e-03,3.613508420903963980e+01,4.570401384849583692e+00
3.997504455733626827e+01,1.454113667692602974e+02,3.335336069863321313e+02,-1.917970021653894186e+00,2.167088070029312384e-03,3.638701019175405094e+01,4.533789911640308645e+00
4.197379678520308488e+01,1.472922144665957092e+02,3.328574434392795069e+02,-1.913949891563493155e+00,1.858239345630580824e-03,3.663520651051329224e+01,4.497642876406230172e+00
4.397254901306989439e+01,1.491759841602302004e+02,3.321881214934278432e+02,-1.910540438949452913e+00,1.543539971754236996e-03,3.687977363686886889e+01,4.461949071621456930e+00
4.597130124093671100e+01,1.510614715170699753e+02,3.315247151750496641e+02,-1.907812895973789002e+00,1.186275154226546337e-03,3.712080770675324715e+01,4.426697751323652064e+00
4.797005346880352761e+01,1.529486316448384855e+02,3.308657163992820074e+02,-1.905853968502241536e+00,7.518031702687535218e-04,3.735840077930068048e+01,4.391878604078186754e+00
4.996880569667033711e+01,1.548365466511545492e+02,3.302096338440940144e+02,-1.904814260826466210e+00,2.942399575930319008e-04,3.759264107608957772e+01,4.357481727968662177e+00
5.196755792453715372e+01,1.567249089017433619e+02,3.295546498337923254e+02,-1.904659919121104883e+00,-1.398279097268597629e-04,3.782361320258853965e+01,4.323497607429259482e+00
5.396631015240396323e+01,1.586129951145584016e+02,3.288991704398013667e+02,-1.905373082120971562e+00,-5.737616186994407442e-04,3.805139835339934251e+01,4.289917091754465339e+00
5.596506238027077984e+01,1.605004350706649916e+02,3.282414894668078773e+02,-1.906952439291979218e+00,-1.004995517497549000e-03,3.827607450272426348e+01,4.256731375141248108e+00
5.796381460813758935e+01,1.623865655100486265e+02,3.275800155510703462e+02,-1.909385739602740717e+00,-1.429496654002819717e-03,3.849771658133877850e+01,4.223931978130367249e+00
5.996256683600440596e+01,1.642705631655747140e+02,3.269132405095842273e+02,-1.912663483056714409e+00,-1.849880292611703241e-03,3.871639664122138669e+01,4.029810281650235138e-01
6.196131906387121546e+01,1.661523643344665118e+02,3.262394044775587076e+02,-1.916778302242085008e+00,-2.266540482838522250e-03,3.873719514027886390e+01,-5.902750228927261311e+00
