s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.028371805034550022e+02,3.405024558050931773e+02,-2.186470225373329690e+00,8.073953722163452335e-03,2.406186184382059778e+01,5.363748824479157129e+00
1.999586320165301911e+00,1.044773787984934899e+02,3.393588568233042793e+02,-2.174117037475612690e+00,4.284684025425716629e-03,2.450354572178426693e+01,6.174380582234351600e+00
3.999172640330603823e+00,1.061275528884347779e+02,3.382295193769398907e+02,-2.168389512616629933e+00,2.687206368385366625e-03,2.500232322875280744e+01,6.109070072852787803e+00
5.998758960495905512e+00,1.077840743576427656e+02,3.371096114689717069e+02,-2.161729702040891876e+00,3.972809365494746336e-03,2.548621966334449596e+01,6.045410913210387704e+00
7.998345280661207646e+00,1.094495451690115857e+02,3.360031479434974244e+02,-2.152037388122373329e+00,5.797849886602032994e-03,2.595619453332700388e+01,5.762178597079915754e+00
9.997931600826509779e+00,1.111278357468527105e+02,3.349159508800408958e+02,-2.138753130071139097e+00,6.937484945744016793e-03,2.639636303823038332e+01,4.608059938832070657e+00
1.199751792099181102e+01,1.128206204342115910e+02,3.338516577812193873e+02,-2.125635561753334457e+00,6.182643049102749463e-03,2.674315629985428444e+01,-5.178162419101875358e+00
1.399710424115711405e+01,1.145271349656274253e+02,3.328090196322502834e+02,-2.112119186842090990e+00,8.074131194553437613e-03,2.635314105386254724e+01,-4.139707362436127802e+00
1.599669056132241529e+01,1.162499642025139082e+02,3.317942988090354106e+02,-2.093172094190959509e+00,1.016227201634789697e-02,2.603713960829695040e+01,-4.076294780911831950e+00
1.799627688148771654e+01,1.179921304884905027e+02,3.308126916110471711e+02,-2.075517882029976668e+00,7.492259375261475784e-03,2.572218560737405113e+01,-5.542209805115756893e+00
1.999586320165301956e+01,1.197493004241078722e+02,3.298578966109681119e+02,-2.061240732026072386e+00,8.198646007537375643e-03,2.528767641758747686e+01,-4.110613637677547949e+00
2.199544952181832258e+01,1.215213784195908602e+02,3.289326263585903121e+02,-2.041704870896018154e+00,1.123487607562475253e-02,2.496051932564384757e+01,-4.005332942448947442e+00
2.399503584198362205e+01,1.233124722740525954e+02,3.280426312311811330e+02,-2.023711898530455855e+00,6.751920367744869075e-03,2.463756292913289059e+01,-6.493005035683647286e+00
2.599462216214892507e+01,1.251151224783402967e+02,3.271773848715344002e+02,-2.013668064818348480e+00,4.565104078172646691e-03,2.410483061535069993e+01,-7.625565793161602102e+00
2.799420848231422809e+01,1.269255842703866932e+02,3.263292603680790194e+02,-2.003906111974240289e+00,5.201383434289360078e-03,2.346373595375841958e+01,-6.962754873240765363e+00
2.999379480247952756e+01,1.287459176246759966e+02,3.255002166558157910e+02,-1.991746582979961655e+00,7.100302961099185656e-03,2.286266926929798515e+01,-6.667527103720657600e+00
3.199338112264483058e+01,1.305770567831370101e+02,3.246973870957082795e+02,-1.975764396207488449e+00,8.294234612324740546e-03,2.227188932590677339e+01,-6.651480118530681551e+00
3.399296744281013360e+01,1.324210519490007698e+02,3.239245296222524644e+02,-1.959794511239315806e+00,7.679733588551676364e-03,2.166648649037746566e+01,-4.693443326731236986e+00
3.599255376297543307e+01,1.342786769896190151e+02,3.231825044076573477e+02,-1.939249827662927306e+00,1.458283426586572638e-02,2.122891298904641033e+01,-4.318262639396643010e+00
3.799214008314073965e+01,1.361555938018173606e+02,3.224953834492175702e+02,-1.902558792396370935e+00,1.627752636926742269e-02,2.081819562054469941e+01,-4.134539620007930516e+00
