x_m,y_m,w_tr_right_m,w_tr_left_m
1.060610868199943013e+02,3.453374352822491460e+02,7.513172585072592113e+00,7.513172585072604548e+00
1.076324246546174948e+02,3.443078187019684719e+02,7.566947136454475142e+00,7.566947136454462708e+00
1.092143217433974201e+02,3.432951823445153536e+02,7.632097368468812704e+00,7.632097368468812704e+00
1.108081288350240783e+02,3.423022307649657137e+02,7.707898539479309363e+00,7.707898539479309363e+00
1.124151786652404610e+02,3.413318451312976549e+02,7.793786031849840867e+00,7.793786031849851526e+00
1.140364314986499039e+02,3.403864328341718988e+02,7.888584668236239494e+00,7.888584668236253705e+00
1.156720026132661587e+02,3.394669255884330141e+02,7.989961729276194191e+00,7.989961729276179980e+00
1.173219015598716908e+02,3.385740292919194872e+02,8.095332033887677525e+00,8.095332033887666867e+00
1.189860955886841651e+02,3.377083387507721000e+02,8.201936428797287348e+00,8.201936428797287348e+00
1.206645502921754769e+02,3.368704992703999324e+02,8.307228441615439607e+00,8.307228441615402303e+00
1.223570159661795600e+02,3.360608267189070375e+02,8.409018958659572718e+00,8.409018958659549625e+00
1.240620087824002127e+02,3.352773234681856138e+02,8.507151970886500436e+00,8.507151970886525305e+00
1.257779083445734329e+02,3.345175040242999103e+02,8.602019598587125060e+00,8.602019598587137494e+00
1.275032136526586015e+02,3.337788345213663774e+02,8.693929508426080588e+00,8.693929508426080588e+00
1.292364703596045388e+02,3.330586189705600191e+02,8.783257649649442556e+00,8.783257649649494070e+00
1.309764650796560375e+02,3.323544612399542757e+02,8.870177478730333576e+00,8.870177478730358445e+00
1.327231738758015922e+02,3.316664341795820405e+02,8.952644952054310323e+00,8.952644952054322758e+00
1.344774990254659883e+02,3.309968371720575533e+02,9.026818531060335715e+00,9.026818531060296635e+00
1.362402860577162755e+02,3.303482827971818097e+02,9.088807991260669183e+00,9.088807991260720698e+00
1.380120693505769509e+02,3.297232254341275848e+02,9.135046085938352434e+00,9.135046085938325788e+00
1.397932066538783147e+02,3.291244570701620660e+02,9.162116320541935366e+00,9.162116320541933590e+00
1.415834190890132334e+02,3.285537562658705610e+02,9.168808642239630657e+00,9.168808642239657303e+00
1.433783778770027197e+02,3.279989138003292055e+02,9.165007244849146417e+00,9.165007244849196155e+00
1.451722175297303465e+02,3.274401333561876299e+02,9.165287242182380112e+00,9.165287242182380112e+00
1.469620578570901159e+02,3.268679852793350165e+02,9.176681891990696727e+00,9.176681891990671858e+00
1.487489823292162612e+02,3.262865686315496987e+02,9.196609713711422884e+00,9.196609713711447753e+00
1.505345369104549036e+02,3.257009500439525596e+02,9.221718911608315139e+00,9.221718911608315139e+00
1.523202065763375117e+02,3.251157077869794421e+02,9.248961902163117088e+00,9.248961902163092219e+00
1.541065061157222544e+02,3.245324143656849856e+02,9.277491296907017571e+00,9.277491296906990925e+00
1.558935596771949008e+02,3.239514654825953244e+02,9.307348754594540807e+00,9.307348754594515938e+00
1.576814839536417594e+02,3.233732395536799800e+02,9.338567978392509517e+00,9.338567978392536162e+00
1.594703944905003254e+02,3.227981178464708023e+02,9.371181429721977096e+00,9.371181429721977096e+00
1.612604094631977887e+02,3.222264980855055683e+02,9.405239149110357744e+00,9.405239149110332875e+00
1.630516192756089708e+02,3.216586958217890242e+02,9.440720254389107780e+00,9.440720254389082911e+00
1.648438816237004403e+02,3.210942661533555906e+02,9.477079610578767799e+00,9.477079610578741153e+00
1.666368958365291633e+02,3.205322261943829290e+02,9.513396452118165314e+00,9.513396452118188407e+00
1.684303607020509617e+02,3.199715772991486915e+02,9.548737707797238627e+00,9.548737707797263496e+00
1.702239861857007099e+02,3.194113608481879965e+02,9.582221645705757851e+00,9.582221645705731206e+00
1.720178039035416759e+02,3.188516862132496499e+02,9.613696916053998009e+00,9.613696916053971364e+00
1.738121858160307056e+02,3.182937816372485713e+02,9.643815959190016329e+00,9.643815959190067844e+00
1.756075154437509127e+02,3.177389164242523520e+02,9.673273366260085382e+00,9.673273366260110251e+00
1.774040209650348174e+02,3.171878780924498642e+02,9.703073117737796238e+00,9.703073117737844200e+00
1.792014813404729239e+02,3.166399968123483859e+02,9.734124848777778283e+00,9.734124848777778283e+00
1.809993682585825923e+02,3.160935671252410089e+02,9.766665927474848630e+00,9.766665927474875275e+00
1.827971288736527811e+02,3.155467905113820279e+02,9.800880491666930538e+00,9.800880491666955407e+00
1.845942137961696119e+02,3.149978874658055474e+02,9.836955736972885944e+00,9.836955736972885944e+00
1.863900544166870361e+02,3.144450443407458238e+02,9.875105682255787443e+00,9.875105682255787443e+00
1.881841121868476137e+02,3.138865852035548869e+02,9.915467433476203851e+00,9.915467433476180759e+00
1.899769900811046455e+02,3.133243374608487670e+02,9.955675369421332022e+00,9.955675369421332022e+00
1.917710450786558738e+02,3.127655440090730963e+02,9.989956724611518624e+00,9.989956724611518624e+00
1.935688237082036380e+02,3.122186433499645091e+02,1.001302317786439744e+01,1.001302317786437079e+01
1.953725367296124205e+02,3.116923349996689012e+02,1.001999812844675652e+01,1.001999812844680626e+01
1.971813655706942257e+02,3.111854605726736054e+02,1.001297534338129402e+01,1.001297534338131712e+01
1.989899782446593690e+02,3.106780929479592714e+02,1.000441512532431432e+01,1.000441512532431787e+01
2.007910671186148761e+02,3.101436191039340429e+02,1.000433899768768597e+01,1.000433899768765933e+01
2.025794893547017637e+02,3.095673529722562307e+02,1.001359305985847925e+01,1.001359305985850234e+01
2.043555316789830272e+02,3.089540820526041216e+02,1.002012212140505021e+01,1.002012212140500047e+01
2.061209383615957336e+02,3.083120629806491024e+02,1.001121860679584863e+01,1.001121860679587350e+01
2.078788431866524604e+02,3.076533294246572154e+02,9.977644112992773984e+00,9.977644112992773984e+00
2.096293934357859996e+02,3.069812581274585455e+02,9.917308208232098465e+00,9.917308208232098465e+00
2.113695014111373212e+02,3.062890879678273564e+02,9.834699213917319938e+00,9.834699213917344807e+00
2.130961571377310975e+02,3.055698722712068047e+02,9.734562299061357393e+00,9.734562299061403579e+00
2.148062856867845767e+02,3.048166799000484843e+02,9.621469581988622011e+00,9.621469581988641551e+00
2.164967808711760995e+02,3.040230232554049508e+02,9.500127712440127326e+00,9.500127712440127326e+00
2.181646752862475580e+02,3.031837237348050849e+02,9.374850447094718930e+00,9.374850447094718930e+00
2.198078934756459830e+02,3.022971668676642594e+02,9.247447663564093645e+00,9.247447663564049236e+00
2.214243479032248274e+02,3.013622331002165993e+02,9.119494147883379753e+00,9.119494147883379753e+00
2.230119212604229233e+02,3.003781016220553965e+02,8.992639674542882489e+00,8.992639674542894923e+00
2.245684711017685231e+02,2.993443797284502352e+02,8.868042732192158439e+00,8.868042732192186861e+00
2.260924477475911658e+02,2.982620033576764627e+02,8.746094602862994449e+00,8.746094602863008660e+00
2.275826901286119437e+02,2.971325932117423463e+02,8.626584646755093289e+00,8.626584646755082630e+00
2.290377135131825526e+02,2.959572545827901422e+02,8.509289171225859150e+00,8.509289171225896453e+00
2.304562302443093529e+02,2.947373000409692168e+02,8.394121210618012086e+00,8.394121210618022744e+00
2.318370311278917484e+02,2.934741151907142012e+02,8.280861029316987754e+00,8.280861029317007294e+00
2.331785769739930458e+02,2.921686919147737171e+02,8.169372196825221977e+00,8.169372196825221977e+00
2.344797933126116618e+02,2.908225126484358043e+02,8.059540144498189562e+00,8.059540144498162917e+00
2.357393434591534742e+02,2.894367676168117782e+02,7.951281727772316898e+00,7.951281727772288477e+00
2.369558037976610763e+02,2.880125931679673386e+02,7.844506489145233630e+00,7.844506489145262051e+00
2.381283405413626610e+02,2.865515963422171808e+02,7.739445534535395410e+00,7.739445534535400739e+00
2.392559587192779702e+02,2.850551791878975223e+02,7.636666977857789362e+00,7.636666977857789362e+00
2.403381219740138022e+02,2.835251089147743073e+02,7.536358716750699571e+00,7.536358716750671149e+00
2.413746816561200603e+02,2.819633595472174648e+02,7.438547734475782214e+00,7.438547734475751128e+00
2.423649885299361699e+02,2.803715298352000218e+02,7.342793423550692644e+00,7.342793423550662446e+00
2.433085299843066309e+02,2.787512934339604271e+02,7.248255143277184231e+00,7.248255143277157586e+00
2.442045874809238057e+02,2.771041378502155794e+02,7.154324956140604819e+00,7.154324956140632352e+00
2.450524165876644815e+02,2.754315559060199803e+02,7.059997269572462208e+00,7.059997269572490630e+00
2.458512003375149675e+02,2.737349669499752736e+02,6.964686769350625362e+00,6.964686769350625362e+00
2.465974707599372948e+02,2.720144561435905644e+02,6.870279744672479261e+00,6.870279744672479261e+00
2.472865592807827966e+02,2.702698780997758377e+02,6.779640140253335723e+00,6.779640140253306413e+00
2.479165759241852243e+02,2.685023673859166138e+02,6.698881133474085203e+00,6.698881133474058558e+00
2.484919593916687859e+02,2.667154444666750805e+02,6.632513417319803928e+00,6.632513417319775506e+00
2.490218928529611730e+02,2.649138152440873455e+02,6.580810842044670039e+00,6.580810842044670039e+00
2.495156981168566972e+02,2.631014045779757566e+02,6.544315539726949460e+00,6.544315539726977882e+00
2.499833046647996753e+02,2.612816832011702672e+02,6.522832823339873798e+00,6.522832823339870245e+00
2.504348145140151587e+02,2.594576796712542546e+02,6.516093110508876407e+00,6.516093110508904829e+00
2.508801893640940079e+02,2.576320864033673388e+02,6.523184693670533107e+00,6.523184693670508238e+00
2.513234153563211066e+02,2.558059739629195803e+02,6.538209548259448667e+00,6.538209548259476200e+00
2.517608885885917402e+02,2.539784787517144764e+02,6.554052306344710921e+00,6.554052306344685164e+00
2.521883518187537447e+02,2.521486072796747067e+02,6.565155132061629928e+00,6.565155132061631704e+00
2.526081233393872481e+02,2.503169536722327564e+02,6.572499619223434841e+00,6.572499619223406420e+00
2.530265915194009096e+02,2.484850005310208587e+02,6.581579816132959948e+00,6.581579816132959948e+00
2.534499585241976547e+02,2.466541898342766217e+02,6.598076208921344055e+00,6.598076208921373365e+00
2.538828432949453031e+02,2.448256918717419239e+02,6.626129465140175867e+00,6.626129465140144781e+00
2.543235502406988644e+02,2.429991902198532898e+02,6.663712221778917311e+00,6.663712221778915534e+00
