s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.092438620570445380e+02,3.501843908642578072e+02,-2.127963821906520447e+00,8.170835042270426299e-03,3.331803953218288683e+01,6.049647054100433241e-01
1.999719440329324360e+00,1.109505074828134781e+02,3.491421628514252120e+02,-2.111568860113926860e+00,8.213427839144485376e-03,3.335557548979259224e+01,5.395282863533807927e-01
3.999185011058771444e+00,1.126737664790680640e+02,3.481281406621413339e+02,-2.095238265282429069e+00,8.033295081842292684e-03,3.338906493431657907e+01,6.825897248054699773e-01
5.999369123735073472e+00,1.144136877784767563e+02,3.471415250548926679e+02,-2.079478285388974168e+00,7.706358106585796570e-03,3.343094795865297186e+01,9.609595678507774075e-01
7.999181014389895594e+00,1.161682456555618330e+02,3.461819552273328782e+02,-2.064449535051990470e+00,7.313927996460886476e-03,3.348928411632950031e+01,1.287115285162735656e+00
9.998615467130475665e+00,1.179362953552649174e+02,3.452482859121115553e+02,-2.050201826598775590e+00,6.933347713459056885e-03,3.356685024153073726e+01,1.594700096320541105e+00
1.199873867747089129e+01,1.197177102029904177e+02,3.443388608207238235e+02,-2.036701867831633983e+00,6.561065293412693053e-03,3.366242702504003148e+01,1.888845388418548765e+00
1.399927747842979819e+01,1.215112565821248722e+02,3.434526628292818486e+02,-2.023932452023351924e+00,6.198309212236088883e-03,3.377507495781193114e+01,2.169343440019420921e+00
1.599835113729930924e+01,1.233143053237364768e+02,3.425893490225124083e+02,-2.011891058901593254e+00,5.843041942602050440e-03,3.390382151033880120e+01,2.438594983400232064e+00
1.799840985674966021e+01,1.251285445219402277e+02,3.417474636306980642e+02,-2.000549266193604847e+00,5.489777135875358212e-03,3.404831862830128131e+01,2.705513790519487927e+00
1.999939101158205546e+01,1.269523496395964912e+02,3.409242622733102053e+02,-1.989910199258694057e+00,5.140911030220338997e-03,3.420728383454018484e+01,2.967752595348533973e+00
2.199845046197335563e+01,1.287827337566646975e+02,3.401205629077616095e+02,-1.979977431825493683e+00,4.794231270377581795e-03,3.438075372967989551e+01,3.227915838557872785e+00
2.399808130858994559e+01,1.306212325564361265e+02,3.393341497301128697e+02,-1.970733913882573241e+00,4.448273430164881130e-03,3.456838495904788999e+01,3.487626869004540442e+00
2.599886197475255045e+01,1.324676862921718055e+02,3.385636097403149165e+02,-1.962176409961204904e+00,4.103951356926312070e-03,3.476991601686503941e+01,3.747681624384246124e+00
2.799849942277371895e+01,1.343193130651594061e+02,3.378086076097986279e+02,-1.954314537067559199e+00,3.758928383271523382e-03,3.498512257783399093e+01,4.011103688980404591e+00
2.999783911656539104e+01,1.361762542073272755e+02,3.370675753529465624e+02,-1.947143037710596936e+00,3.412974261854547203e-03,3.521393768214421982e+01,4.278782353571365604e+00
3.199838662060648176e+01,1.380393040760362169e+02,3.363387163112734584e+02,-1.940659265448967608e+00,3.067317646207220073e-03,3.545632681810389641e+01,4.550087439937345657e+00
3.399848011325268260e+01,1.399063353072947109e+02,3.356213821068533321e+02,-1.934872272186464182e+00,2.720132867622461828e-03,3.571220507576102676e+01,4.631598618889076313e+00
