s,x,y,psi,kappa,vx,ax
0.000000000000000000e+00,1.088597921512123889e+02,3.502965832414507759e+02,-2.130315438103292713e+00,8.526914412983232702e-03,3.324568475300453940e+01,3.257040289180195280e-01
1.998746970618842544e+00,1.105625991097516447e+02,3.492502823188901857e+02,-2.113224648374519621e+00,8.574074454485918623e-03,3.326526047663530505e+01,2.718272383674618098e-01
3.997493941237685089e+00,1.122831204903455387e+02,3.482332247636460352e+02,-2.096194027889912270e+00,8.358183092450897564e-03,3.328158923965068539e+01,4.565355073218632653e-01
5.996240911856527411e+00,1.140206009924987143e+02,3.472449087170511461e+02,-2.079891972332288841e+00,7.934295743060322537e-03,3.330899548532364918e+01,8.228432798367971701e-01
7.994987882475370178e+00,1.157733223389742676e+02,3.462843092150662301e+02,-2.064595502563258300e+00,7.372776688211054273e-03,3.335833465967758826e+01,1.303073422600083298e+00
9.993734853094212056e+00,1.175400463139040141e+02,3.453496178366891627e+02,-2.050426754720327427e+00,6.801177105660601192e-03,3.343632036242742345e+01,1.781053308149299408e+00
1.199248182371305482e+01,1.193193644135533873e+02,3.444390036913904396e+02,-2.037407136526333762e+00,6.225002899948653239e-03,3.354261869901076665e+01,2.254543478783820554e+00
1.399122879433189759e+01,1.211098261461142158e+02,3.435506212479754140e+02,-2.025544483089688264e+00,5.645576511021237719e-03,3.367669510334887661e+01,2.725140032376109467e+00
1.598997576495074036e+01,1.229101951717435526e+02,3.426824973666669507e+02,-2.014843467334692662e+00,5.060865919862513745e-03,3.383804846400527566e+01,3.197484786896850562e+00
1.798872273556958135e+01,1.247193371614829118e+02,3.418325895501633909e+02,-2.005314848773174674e+00,4.472315542837416655e-03,3.402639343091168200e+01,3.672941387839316896e+00
1.998746970618842411e+01,1.265358378876420318e+02,3.409989655858547053e+02,-1.996962794454516521e+00,3.886456088896287839e-03,3.424146624868156152e+01,4.148003952405406203e+00
2.198621667680726688e+01,1.283585488683119138e+02,3.401795731018201536e+02,-1.989777608151853894e+00,3.300769775900362028e-03,3.448274396749146575e+01,4.627669768847909815e+00
2.398496364742610965e+01,1.301858791064325658e+02,3.393726192223414273e+02,-1.983590081728225929e+00,3.052718855006597912e-03,3.474994551636861928e+01,4.770281252494060986e+00
2.598371061804495241e+01,1.320199337107295037e+02,3.385760671646195874e+02,-1.977457525583560471e+00,3.077703888126006541e-03,3.502324776195708722e+01,4.675079855562183084e+00
2.798245758866379518e+01,1.338572199611875533e+02,3.377915100393304328e+02,-1.971287994469252070e+00,3.098945697353853567e-03,3.528904202713420801e+01,4.570713573475839731e+00
2.998120455928263794e+01,1.356996191906879687e+02,3.370182242153030074e+02,-1.965069110035485789e+00,3.127903080708754370e-03,3.554698140503560211e+01,4.459955668101000192e+00
3.197995152990148071e+01,1.375484307939124733e+02,3.362558072563772953e+02,-1.958783426534088434e+00,3.157284632366920765e-03,3.579687881326204746e+01,4.350151276615267015e+00
